Palavras-chave	Data e Hora	Fonte	Identificação do Evento	Categoria da Tarefa
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	5379	User Account Management	"As credenciais do Gerenciador de Credenciais foram lidas.

Requerente:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4
	ID de Logon:		0x34292
	Operação de Leitura:		Enumerar Credenciais

Este evento ocorre quando um usuário executa uma operação de leitura em credenciais armazenadas no Gerenciador de Credenciais."
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	5379	User Account Management	"As credenciais do Gerenciador de Credenciais foram lidas.

Requerente:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4
	ID de Logon:		0x34292
	Operação de Leitura:		Enumerar Credenciais

Este evento ocorre quando um usuário executa uma operação de leitura em credenciais armazenadas no Gerenciador de Credenciais."
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	5379	User Account Management	"As credenciais do Gerenciador de Credenciais foram lidas.

Requerente:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7
	Operação de Leitura:		Enumerar Credenciais

Este evento ocorre quando um usuário executa uma operação de leitura em credenciais armazenadas no Gerenciador de Credenciais."
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	5379	User Account Management	"As credenciais do Gerenciador de Credenciais foram lidas.

Requerente:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7
	Operação de Leitura:		Enumerar Credenciais

Este evento ocorre quando um usuário executa uma operação de leitura em credenciais armazenadas no Gerenciador de Credenciais."
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	5379	User Account Management	"As credenciais do Gerenciador de Credenciais foram lidas.

Requerente:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7
	Operação de Leitura:		Enumerar Credenciais

Este evento ocorre quando um usuário executa uma operação de leitura em credenciais armazenadas no Gerenciador de Credenciais."
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	5379	User Account Management	"As credenciais do Gerenciador de Credenciais foram lidas.

Requerente:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7
	Operação de Leitura:		Enumerar Credenciais

Este evento ocorre quando um usuário executa uma operação de leitura em credenciais armazenadas no Gerenciador de Credenciais."
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	5379	User Account Management	"As credenciais do Gerenciador de Credenciais foram lidas.

Requerente:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7
	Operação de Leitura:		Enumerar Credenciais

Este evento ocorre quando um usuário executa uma operação de leitura em credenciais armazenadas no Gerenciador de Credenciais."
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	5379	User Account Management	"As credenciais do Gerenciador de Credenciais foram lidas.

Requerente:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7
	Operação de Leitura:		Enumerar Credenciais

Este evento ocorre quando um usuário executa uma operação de leitura em credenciais armazenadas no Gerenciador de Credenciais."
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Privilégios especiais atribuídos a um novo logon.

Requerente:
	Identificação de segurança:		SISTEMA
	Nome da conta:		SISTEMA
	Domínio da conta:		AUTORIDADE NT
	Identificação de logon:		0x3E7

Privilégios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Sucesso da Auditoria	02/03/2023 10:04:46	Microsoft-Windows-Security-Auditing	4624	Logon	"O logon de uma conta foi efetuado com êxito.

Entidade:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7

Informações de Logon:
	Tipo de Logon:		5
	Modo de Admin Restrito:	-
	Conta Virtual:		Não
	Token Elevado:		Sim

Nível de Representação:		Representação

Novo Logon:
	ID de Segurança:		SISTEMA
	Nome da Conta:		SISTEMA
	Domínio da Conta:		AUTORIDADE NT
	ID de Logon:		0x3E7
	ID de Logon Vinculado:		0x0
	Nome da Conta de Rede:	-
	Domínio da Conta de Rede:	-
	GUID de Logon:		{00000000-0000-0000-0000-000000000000}

Informações do Processo:
	ID do Processo:		0x26c
	Nome do Processo:		C:\Windows\System32\services.exe

Informações da Rede:
	Nome da Estação de Trabalho:	-
	Endereço da Rede de Origem:	-
	Porta de Origem:		-

Informações Detalhadas de Autenticação:
	Processo de Logon:		Advapi  
	Pacote de Autenticação:	Negotiate
	Serviços Transitados:	-
	Nome do Pacote (somente NTLM):	-
	Comprimento da Chave:		0

Este evento é gerado ao criar uma sessão de logon. Ele é gerado no computador acessado.

Os campos de entidade indicam a conta no sistema local que solicitou o logon. Em geral, é um serviço, como o Serviço de servidor, ou um processo local, como Winlogon.exe ou Services.exe.

O campo de tipo de logon indica o tipo de logon realizado. Os tipos mais comuns são 2 (interativo) e 3 (rede).

Os campos Novo Logon indicam a conta para a qual o novo logon foi criado, ou seja, a conta que efetuou o logon.

Os campos de rede indicam o local onde a solicitação de logon foi originada. O nome da estação de trabalho nem sempre está disponível e, em alguns casos, pode ficar em branco.

O campo de nível de representação indica a extensão em que um processo na sessão de logon pode representar.

Os campos de informações de autenticação fornecem informações detalhadas sobre esta solicitação de logon específica.
	- GUID de Logon é um identificador exclusivo que pode ser usado para correlacionar esse evento a um evento KDC.
	- Serviços transitados indicam quais serviços intermediários participaram da solicitação de logon.
	- O nome do pacote indica qual subprotocolo, entre os protocolos NTLM, foi utilizado.
	- O comprimento da chave indica o comprimento da chave de sessão gerada. Será 0 se nenhuma chave de sessão tiver sido solicitada."
Sucesso da Auditoria	02/03/2023 10:04:45	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Privilégios especiais atribuídos a um novo logon.

Requerente:
	Identificação de segurança:		SISTEMA
	Nome da conta:		SISTEMA
	Domínio da conta:		AUTORIDADE NT
	Identificação de logon:		0x3E7

Privilégios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Sucesso da Auditoria	02/03/2023 10:04:45	Microsoft-Windows-Security-Auditing	4624	Logon	"O logon de uma conta foi efetuado com êxito.

Entidade:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7

Informações de Logon:
	Tipo de Logon:		5
	Modo de Admin Restrito:	-
	Conta Virtual:		Não
	Token Elevado:		Sim

Nível de Representação:		Representação

Novo Logon:
	ID de Segurança:		SISTEMA
	Nome da Conta:		SISTEMA
	Domínio da Conta:		AUTORIDADE NT
	ID de Logon:		0x3E7
	ID de Logon Vinculado:		0x0
	Nome da Conta de Rede:	-
	Domínio da Conta de Rede:	-
	GUID de Logon:		{00000000-0000-0000-0000-000000000000}

Informações do Processo:
	ID do Processo:		0x26c
	Nome do Processo:		C:\Windows\System32\services.exe

Informações da Rede:
	Nome da Estação de Trabalho:	-
	Endereço da Rede de Origem:	-
	Porta de Origem:		-

Informações Detalhadas de Autenticação:
	Processo de Logon:		Advapi  
	Pacote de Autenticação:	Negotiate
	Serviços Transitados:	-
	Nome do Pacote (somente NTLM):	-
	Comprimento da Chave:		0

Este evento é gerado ao criar uma sessão de logon. Ele é gerado no computador acessado.

Os campos de entidade indicam a conta no sistema local que solicitou o logon. Em geral, é um serviço, como o Serviço de servidor, ou um processo local, como Winlogon.exe ou Services.exe.

O campo de tipo de logon indica o tipo de logon realizado. Os tipos mais comuns são 2 (interativo) e 3 (rede).

Os campos Novo Logon indicam a conta para a qual o novo logon foi criado, ou seja, a conta que efetuou o logon.

Os campos de rede indicam o local onde a solicitação de logon foi originada. O nome da estação de trabalho nem sempre está disponível e, em alguns casos, pode ficar em branco.

O campo de nível de representação indica a extensão em que um processo na sessão de logon pode representar.

Os campos de informações de autenticação fornecem informações detalhadas sobre esta solicitação de logon específica.
	- GUID de Logon é um identificador exclusivo que pode ser usado para correlacionar esse evento a um evento KDC.
	- Serviços transitados indicam quais serviços intermediários participaram da solicitação de logon.
	- O nome do pacote indica qual subprotocolo, entre os protocolos NTLM, foi utilizado.
	- O comprimento da chave indica o comprimento da chave de sessão gerada. Será 0 se nenhuma chave de sessão tiver sido solicitada."
Sucesso da Auditoria	02/03/2023 10:04:33	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Privilégios especiais atribuídos a um novo logon.

Requerente:
	Identificação de segurança:		SISTEMA
	Nome da conta:		SISTEMA
	Domínio da conta:		AUTORIDADE NT
	Identificação de logon:		0x3E7

Privilégios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Sucesso da Auditoria	02/03/2023 10:04:33	Microsoft-Windows-Security-Auditing	4624	Logon	"O logon de uma conta foi efetuado com êxito.

Entidade:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7

Informações de Logon:
	Tipo de Logon:		5
	Modo de Admin Restrito:	-
	Conta Virtual:		Não
	Token Elevado:		Sim

Nível de Representação:		Representação

Novo Logon:
	ID de Segurança:		SISTEMA
	Nome da Conta:		SISTEMA
	Domínio da Conta:		AUTORIDADE NT
	ID de Logon:		0x3E7
	ID de Logon Vinculado:		0x0
	Nome da Conta de Rede:	-
	Domínio da Conta de Rede:	-
	GUID de Logon:		{00000000-0000-0000-0000-000000000000}

Informações do Processo:
	ID do Processo:		0x26c
	Nome do Processo:		C:\Windows\System32\services.exe

Informações da Rede:
	Nome da Estação de Trabalho:	-
	Endereço da Rede de Origem:	-
	Porta de Origem:		-

Informações Detalhadas de Autenticação:
	Processo de Logon:		Advapi  
	Pacote de Autenticação:	Negotiate
	Serviços Transitados:	-
	Nome do Pacote (somente NTLM):	-
	Comprimento da Chave:		0

Este evento é gerado ao criar uma sessão de logon. Ele é gerado no computador acessado.

Os campos de entidade indicam a conta no sistema local que solicitou o logon. Em geral, é um serviço, como o Serviço de servidor, ou um processo local, como Winlogon.exe ou Services.exe.

O campo de tipo de logon indica o tipo de logon realizado. Os tipos mais comuns são 2 (interativo) e 3 (rede).

Os campos Novo Logon indicam a conta para a qual o novo logon foi criado, ou seja, a conta que efetuou o logon.

Os campos de rede indicam o local onde a solicitação de logon foi originada. O nome da estação de trabalho nem sempre está disponível e, em alguns casos, pode ficar em branco.

O campo de nível de representação indica a extensão em que um processo na sessão de logon pode representar.

Os campos de informações de autenticação fornecem informações detalhadas sobre esta solicitação de logon específica.
	- GUID de Logon é um identificador exclusivo que pode ser usado para correlacionar esse evento a um evento KDC.
	- Serviços transitados indicam quais serviços intermediários participaram da solicitação de logon.
	- O nome do pacote indica qual subprotocolo, entre os protocolos NTLM, foi utilizado.
	- O comprimento da chave indica o comprimento da chave de sessão gerada. Será 0 se nenhuma chave de sessão tiver sido solicitada."
Sucesso da Auditoria	02/03/2023 10:01:12	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A associação a um grupo local do usuário foi enumerada.

Entidade:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4
	ID de Logon:		0x34292

Usuário:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4

Informações do Processo:
	ID do Processo:		0xfd0
	Nome do Processo:		C:\Windows\explorer.exe"
Sucesso da Auditoria	02/03/2023 10:01:12	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A associação a um grupo local do usuário foi enumerada.

Entidade:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4
	ID de Logon:		0x34292

Usuário:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4

Informações do Processo:
	ID do Processo:		0x1f60
	Nome do Processo:		C:\Windows\System32\mmc.exe"
Sucesso da Auditoria	02/03/2023 10:01:01	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A associação a um grupo local do usuário foi enumerada.

Entidade:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4
	ID de Logon:		0x34292

Usuário:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4

Informações do Processo:
	ID do Processo:		0x1f60
	Nome do Processo:		C:\Windows\System32\mmc.exe"
Sucesso da Auditoria	02/03/2023 10:00:45	Microsoft-Windows-Security-Auditing	4798	User Account Management	"A associação a um grupo local do usuário foi enumerada.

Entidade:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4
	ID de Logon:		0x34292

Usuário:
	ID de Segurança:		DESKTOP-C71QBS4\cyber
	Nome da Conta:		cyber
	Domínio da Conta:		DESKTOP-C71QBS4

Informações do Processo:
	ID do Processo:		0xfd0
	Nome do Processo:		C:\Windows\explorer.exe"
Sucesso da Auditoria	02/03/2023 10:00:18	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Privilégios especiais atribuídos a um novo logon.

Requerente:
	Identificação de segurança:		SISTEMA
	Nome da conta:		SISTEMA
	Domínio da conta:		AUTORIDADE NT
	Identificação de logon:		0x3E7

Privilégios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Sucesso da Auditoria	02/03/2023 10:00:18	Microsoft-Windows-Security-Auditing	4624	Logon	"O logon de uma conta foi efetuado com êxito.

Entidade:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7

Informações de Logon:
	Tipo de Logon:		5
	Modo de Admin Restrito:	-
	Conta Virtual:		Não
	Token Elevado:		Sim

Nível de Representação:		Representação

Novo Logon:
	ID de Segurança:		SISTEMA
	Nome da Conta:		SISTEMA
	Domínio da Conta:		AUTORIDADE NT
	ID de Logon:		0x3E7
	ID de Logon Vinculado:		0x0
	Nome da Conta de Rede:	-
	Domínio da Conta de Rede:	-
	GUID de Logon:		{00000000-0000-0000-0000-000000000000}

Informações do Processo:
	ID do Processo:		0x26c
	Nome do Processo:		C:\Windows\System32\services.exe

Informações da Rede:
	Nome da Estação de Trabalho:	-
	Endereço da Rede de Origem:	-
	Porta de Origem:		-

Informações Detalhadas de Autenticação:
	Processo de Logon:		Advapi  
	Pacote de Autenticação:	Negotiate
	Serviços Transitados:	-
	Nome do Pacote (somente NTLM):	-
	Comprimento da Chave:		0

Este evento é gerado ao criar uma sessão de logon. Ele é gerado no computador acessado.

Os campos de entidade indicam a conta no sistema local que solicitou o logon. Em geral, é um serviço, como o Serviço de servidor, ou um processo local, como Winlogon.exe ou Services.exe.

O campo de tipo de logon indica o tipo de logon realizado. Os tipos mais comuns são 2 (interativo) e 3 (rede).

Os campos Novo Logon indicam a conta para a qual o novo logon foi criado, ou seja, a conta que efetuou o logon.

Os campos de rede indicam o local onde a solicitação de logon foi originada. O nome da estação de trabalho nem sempre está disponível e, em alguns casos, pode ficar em branco.

O campo de nível de representação indica a extensão em que um processo na sessão de logon pode representar.

Os campos de informações de autenticação fornecem informações detalhadas sobre esta solicitação de logon específica.
	- GUID de Logon é um identificador exclusivo que pode ser usado para correlacionar esse evento a um evento KDC.
	- Serviços transitados indicam quais serviços intermediários participaram da solicitação de logon.
	- O nome do pacote indica qual subprotocolo, entre os protocolos NTLM, foi utilizado.
	- O comprimento da chave indica o comprimento da chave de sessão gerada. Será 0 se nenhuma chave de sessão tiver sido solicitada."
Sucesso da Auditoria	02/03/2023 10:00:18	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Privilégios especiais atribuídos a um novo logon.

Requerente:
	Identificação de segurança:		SISTEMA
	Nome da conta:		SISTEMA
	Domínio da conta:		AUTORIDADE NT
	Identificação de logon:		0x3E7

Privilégios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Sucesso da Auditoria	02/03/2023 10:00:18	Microsoft-Windows-Security-Auditing	4624	Logon	"O logon de uma conta foi efetuado com êxito.

Entidade:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7

Informações de Logon:
	Tipo de Logon:		5
	Modo de Admin Restrito:	-
	Conta Virtual:		Não
	Token Elevado:		Sim

Nível de Representação:		Representação

Novo Logon:
	ID de Segurança:		SISTEMA
	Nome da Conta:		SISTEMA
	Domínio da Conta:		AUTORIDADE NT
	ID de Logon:		0x3E7
	ID de Logon Vinculado:		0x0
	Nome da Conta de Rede:	-
	Domínio da Conta de Rede:	-
	GUID de Logon:		{00000000-0000-0000-0000-000000000000}

Informações do Processo:
	ID do Processo:		0x26c
	Nome do Processo:		C:\Windows\System32\services.exe

Informações da Rede:
	Nome da Estação de Trabalho:	-
	Endereço da Rede de Origem:	-
	Porta de Origem:		-

Informações Detalhadas de Autenticação:
	Processo de Logon:		Advapi  
	Pacote de Autenticação:	Negotiate
	Serviços Transitados:	-
	Nome do Pacote (somente NTLM):	-
	Comprimento da Chave:		0

Este evento é gerado ao criar uma sessão de logon. Ele é gerado no computador acessado.

Os campos de entidade indicam a conta no sistema local que solicitou o logon. Em geral, é um serviço, como o Serviço de servidor, ou um processo local, como Winlogon.exe ou Services.exe.

O campo de tipo de logon indica o tipo de logon realizado. Os tipos mais comuns são 2 (interativo) e 3 (rede).

Os campos Novo Logon indicam a conta para a qual o novo logon foi criado, ou seja, a conta que efetuou o logon.

Os campos de rede indicam o local onde a solicitação de logon foi originada. O nome da estação de trabalho nem sempre está disponível e, em alguns casos, pode ficar em branco.

O campo de nível de representação indica a extensão em que um processo na sessão de logon pode representar.

Os campos de informações de autenticação fornecem informações detalhadas sobre esta solicitação de logon específica.
	- GUID de Logon é um identificador exclusivo que pode ser usado para correlacionar esse evento a um evento KDC.
	- Serviços transitados indicam quais serviços intermediários participaram da solicitação de logon.
	- O nome do pacote indica qual subprotocolo, entre os protocolos NTLM, foi utilizado.
	- O comprimento da chave indica o comprimento da chave de sessão gerada. Será 0 se nenhuma chave de sessão tiver sido solicitada."
Sucesso da Auditoria	02/03/2023 09:59:50	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Privilégios especiais atribuídos a um novo logon.

Requerente:
	Identificação de segurança:		SISTEMA
	Nome da conta:		SISTEMA
	Domínio da conta:		AUTORIDADE NT
	Identificação de logon:		0x3E7

Privilégios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Sucesso da Auditoria	02/03/2023 09:59:50	Microsoft-Windows-Security-Auditing	4624	Logon	"O logon de uma conta foi efetuado com êxito.

Entidade:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7

Informações de Logon:
	Tipo de Logon:		5
	Modo de Admin Restrito:	-
	Conta Virtual:		Não
	Token Elevado:		Sim

Nível de Representação:		Representação

Novo Logon:
	ID de Segurança:		SISTEMA
	Nome da Conta:		SISTEMA
	Domínio da Conta:		AUTORIDADE NT
	ID de Logon:		0x3E7
	ID de Logon Vinculado:		0x0
	Nome da Conta de Rede:	-
	Domínio da Conta de Rede:	-
	GUID de Logon:		{00000000-0000-0000-0000-000000000000}

Informações do Processo:
	ID do Processo:		0x26c
	Nome do Processo:		C:\Windows\System32\services.exe

Informações da Rede:
	Nome da Estação de Trabalho:	-
	Endereço da Rede de Origem:	-
	Porta de Origem:		-

Informações Detalhadas de Autenticação:
	Processo de Logon:		Advapi  
	Pacote de Autenticação:	Negotiate
	Serviços Transitados:	-
	Nome do Pacote (somente NTLM):	-
	Comprimento da Chave:		0

Este evento é gerado ao criar uma sessão de logon. Ele é gerado no computador acessado.

Os campos de entidade indicam a conta no sistema local que solicitou o logon. Em geral, é um serviço, como o Serviço de servidor, ou um processo local, como Winlogon.exe ou Services.exe.

O campo de tipo de logon indica o tipo de logon realizado. Os tipos mais comuns são 2 (interativo) e 3 (rede).

Os campos Novo Logon indicam a conta para a qual o novo logon foi criado, ou seja, a conta que efetuou o logon.

Os campos de rede indicam o local onde a solicitação de logon foi originada. O nome da estação de trabalho nem sempre está disponível e, em alguns casos, pode ficar em branco.

O campo de nível de representação indica a extensão em que um processo na sessão de logon pode representar.

Os campos de informações de autenticação fornecem informações detalhadas sobre esta solicitação de logon específica.
	- GUID de Logon é um identificador exclusivo que pode ser usado para correlacionar esse evento a um evento KDC.
	- Serviços transitados indicam quais serviços intermediários participaram da solicitação de logon.
	- O nome do pacote indica qual subprotocolo, entre os protocolos NTLM, foi utilizado.
	- O comprimento da chave indica o comprimento da chave de sessão gerada. Será 0 se nenhuma chave de sessão tiver sido solicitada."
Sucesso da Auditoria	02/03/2023 09:59:45	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Privilégios especiais atribuídos a um novo logon.

Requerente:
	Identificação de segurança:		SISTEMA
	Nome da conta:		SISTEMA
	Domínio da conta:		AUTORIDADE NT
	Identificação de logon:		0x3E7

Privilégios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
Sucesso da Auditoria	02/03/2023 09:59:45	Microsoft-Windows-Security-Auditing	4624	Logon	"O logon de uma conta foi efetuado com êxito.

Entidade:
	ID de Segurança:		SISTEMA
	Nome da Conta:		DESKTOP-C71QBS4$
	Domínio da Conta:		WORKGROUP
	ID de Logon:		0x3E7

Informações de Logon:
	Tipo de Logon:		5
	Modo de Admin Restrito:	-
	Conta Virtual:		Não
	Token Elevado:		Sim

Nível de Representação:		Representação

Novo Logon:
	ID de Segurança:		SISTEMA
	Nome da Conta:		SISTEMA
	Domínio da Conta:		AUTORIDADE NT
	ID de Logon:		0x3E7
	ID de Logon Vinculado:		0x0
	Nome da Conta de Rede:	-
	Domínio da Conta de Rede:	-
	GUID de Logon:		{00000000-0000-0000-0000-000000000000}

Informações do Processo:
	ID do Processo:		0x26c
	Nome do Processo:		C:\Windows\System32\services.exe

Informações da Rede:
	Nome da Estação de Trabalho:	-
	Endereço da Rede de Origem:	-
	Porta de Origem:		-

Informações Detalhadas de Autenticação:
	Processo de Logon:		Advapi  
	Pacote de Autenticação:	Negotiate
	Serviços Transitados:	-
	Nome do Pacote (somente NTLM):	-
	Comprimento da Chave:		0

Este evento é gerado ao criar uma sessão de logon. Ele é gerado no computador acessado.

Os campos de entidade indicam a conta no sistema local que solicitou o logon. Em geral, é um serviço, como o Serviço de servidor, ou um processo local, como Winlogon.exe ou Services.exe.

O campo de tipo de logon indica o tipo de logon realizado. Os tipos mais comuns são 2 (interativo) e 3 (rede).

Os campos Novo Logon indicam a conta para a qual o novo logon foi criado, ou seja, a conta que efetuou o logon.

Os campos de rede indicam o local onde a solicitação de logon foi originada. O nome da estação de trabalho nem sempre está disponível e, em alguns casos, pode ficar em branco.

O campo de nível de representação indica a extensão em que um processo na sessão de logon pode representar.

Os campos de informações de autenticação fornecem informações detalhadas sobre esta solicitação de logon específica.
	- GUID de Logon é um identificador exclusivo que pode ser usado para correlacionar esse evento a um evento KDC.
	- Serviços transitados indicam quais serviços intermediários participaram da solicitação de logon.
	- O nome do pacote indica qual subprotocolo, entre os protocolos NTLM, foi utilizado.
	- O comprimento da chave indica o comprimento da chave de sessão gerada. Será 0 se nenhuma chave de sessão tiver sido solicitada."
Sucesso da Auditoria	02/03/2023 09:59:45	Microsoft-Windows-Security-Auditing	4672	Special Logon	"Privilégios especiais atribuídos a um novo logon.

Requerente:
	Identificação de segurança:		SISTEMA
	Nome da conta:		SISTEMA
	Domínio da conta:		AUTORIDADE NT
	Identificação de logon:		0x3E7

Privilégios:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege
			SeDelegateSessionUserImpersonatePrivilege"
